time,open,high,low,close,Volume,Volume MA
1558618200,2836.7,2836.7,2805.49,2822.24,NaN,NaN
1558704600,2832.41,2841.36,2820.19,2826.06,NaN,NaN
1559050200,2830.03,2840.51,2801.58,2802.39,NaN,NaN
1559136600,2790.25,2792.03,2766.06,2783.02,NaN,NaN
1559223000,2786.94,2799,2776.74,2788.86,NaN,NaN
1559309400,2766.15,2768.98,2750.52,2752.06,NaN,NaN
1559568600,2751.53,2763.07,2728.81,2744.45,NaN,NaN
1559655000,2762.64,2804.49,2762.64,2803.27,NaN,NaN
1559741400,2818.09,2827.28,2800.92,2826.15,NaN,NaN
1559827800,2828.51,2852.1,2822.45,2843.49,NaN,NaN
1559914200,2852.87,2884.97,2852.87,2873.34,NaN,NaN
1560173400,2885.83,2904.77,2885.51,2886.73,NaN,NaN
1560259800,2903.27,2910.61,2878.53,2885.72,NaN,NaN
1560346200,2882.73,2888.57,2874.68,2879.84,NaN,NaN
1560432600,2886.24,2895.24,2881.99,2891.64,NaN,NaN
1560519000,2886.82,2894.45,2879.62,2886.98,NaN,NaN
1560778200,2889.75,2897.27,2887.3,2889.67,NaN,NaN
1560864600,2906.71,2930.79,2905.44,2917.75,NaN,NaN
1560951000,2920.55,2931.74,2911.43,2926.46,NaN,NaN
1561037400,2949.6,2958.06,2931.5,2954.18,NaN,NaN
1561123800,2952.71,2964.15,2946.87,2950.46,NaN,NaN
1561383000,2951.42,2954.92,2944.05,2945.35,NaN,NaN
1561469400,2945.78,2946.52,2916.01,2917.38,NaN,NaN
1561555800,2926.07,2932.59,2912.99,2913.78,NaN,NaN
1561642200,2919.66,2929.3,2918.57,2924.92,NaN,NaN
1561728600,2932.94,2943.98,2929.05,2941.76,NaN,NaN
1561987800,2971.41,2977.93,2952.22,2964.33,NaN,NaN
1562074200,2964.66,2973.21,2955.92,2973.01,NaN,NaN
1562160600,2978.08,2995.84,2977.96,2995.47,NaN,NaN
1562333400,2984.25,2994.03,2967.97,2990.41,NaN,NaN
1562592600,2979.77,2980.76,2970.09,2975.95,NaN,NaN
1562679000,2965.52,2981.9,2963.44,2979.63,NaN,NaN
1562765400,2989.3,3002.98,2984.62,2993.07,NaN,NaN
1562851800,2999.62,3002.33,2988.8,2999.91,NaN,NaN
1562938200,3003.36,3013.92,3001.87,3013.77,NaN,NaN
1563197400,3017.8,3017.8,3008.77,3014.3,NaN,NaN
1563283800,3012.13,3015.02,3001.15,3004.04,NaN,NaN
1563370200,3005.1,3005.26,2984.25,2984.42,NaN,NaN
1563456600,2978.87,2998.28,2973.09,2995.11,NaN,NaN
1563543000,3004.26,3006.02,2975.86,2976.61,NaN,NaN
1563802200,2981.93,2990.71,2976.65,2985.03,NaN,NaN
1563888600,2994.74,3005.9,2988.56,3005.47,NaN,NaN
1563975000,2998.77,3019.59,2996.82,3019.56,NaN,NaN
1564061400,3016.26,3016.31,2997.24,3003.67,NaN,NaN
1564147800,3013.25,3027.98,3012.59,3025.86,NaN,NaN
1564407000,3024.47,3025.61,3014.3,3020.97,NaN,NaN
1564493400,3007.66,3017.19,3000.94,3013.18,NaN,NaN
1564579800,3016.22,3017.4,2958.08,2980.38,NaN,NaN
1564666200,2980.32,3013.59,2945.23,2953.56,NaN,NaN
1564752600,2943.9,2945.5,2914.11,2932.05,NaN,NaN
1565011800,2898.07,2898.07,2822.12,2844.74,NaN,NaN
1565098200,2861.18,2884.4,2847.42,2881.77,NaN,NaN
1565184600,2858.65,2892.17,2825.71,2883.98,NaN,NaN
1565271000,2896.21,2938.72,2894.47,2938.09,NaN,NaN
1565357400,2930.51,2935.75,2900.15,2918.65,NaN,NaN
1565616600,2907.07,2907.58,2873.14,2882.69,NaN,NaN
1565703000,2880.72,2943.31,2877.05,2926.32,NaN,NaN
1565789400,2894.15,2894.15,2839.64,2840.6,NaN,NaN
1565875800,2846.2,2856.67,2825.51,2847.6,NaN,NaN
1565962200,2864.74,2893.63,2864.74,2888.68,NaN,NaN
1566221400,2913.48,2931,2913.48,2923.65,NaN,NaN
1566307800,2919.01,2923.63,2899.6,2900.51,NaN,NaN
1566394200,2922.04,2928.73,2917.91,2924.43,NaN,NaN
1566480600,2930.94,2939.08,2904.51,2922.95,NaN,NaN
1566567000,2911.07,2927.01,2834.97,2847.11,NaN,NaN
1566826200,2866.7,2879.27,2856,2878.38,NaN,NaN
1566912600,2893.14,2898.79,2860.59,2869.16,NaN,NaN
1566999000,2861.28,2890.03,2853.05,2887.94,NaN,NaN
1567085400,2910.37,2930.5,2905.67,2924.58,NaN,NaN
1567171800,2937.09,2940.43,2913.32,2926.46,NaN,NaN
1567517400,2909.01,2914.39,2891.85,2906.27,NaN,NaN
1567603800,2924.67,2938.84,2921.86,2937.78,NaN,NaN
1567690200,2960.6,2985.86,2960.6,2976,NaN,NaN
1567776600,2980.33,2985.03,2972.51,2978.71,NaN,NaN
1568035800,2988.43,2989.43,2969.39,2978.43,NaN,NaN
1568122200,2971.01,2979.39,2957.01,2979.39,NaN,NaN
1568208600,2981.41,3000.93,2975.31,3000.93,NaN,NaN
1568295000,3009.08,3020.74,3000.92,3009.57,NaN,NaN
1568381400,3012.21,3017.33,3002.9,3007.39,NaN,NaN
1568640600,2996.41,3002.19,2990.67,2997.96,NaN,NaN
1568727000,2995.67,3006.21,2993.73,3005.69,NaN,NaN
1568813400,3001.5,3007.83,2978.57,3006.73,NaN,NaN
1568899800,3010.36,3021.99,3003.16,3006.79,NaN,NaN
1568986200,3008.42,3016.37,2984.68,2992.06,NaN,NaN
1569245400,2983.5,2999.15,2982.23,2991.78,NaN,NaN
1569331800,3002.43,3007.98,2957.73,2966.6,NaN,NaN
1569418200,2968.35,2989.82,2952.86,2984.87,NaN,NaN
1569504600,2985.73,2987.28,2963.71,2977.62,NaN,NaN
1569591000,2985.47,2987.31,2945.53,2961.79,NaN,NaN
1569850200,2967.07,2983.85,2967.07,2976.73,NaN,NaN
1569936600,2983.69,2992.53,2938.7,2940.25,NaN,NaN
1570023000,2924.78,2924.78,2874.93,2887.61,NaN,NaN
1570109400,2885.38,2911.13,2855.94,2910.63,NaN,NaN
1570195800,2918.56,2953.74,2918.56,2952.01,NaN,NaN
1570455000,2944.23,2959.75,2935.68,2938.79,NaN,NaN
1570541400,2920.4,2925.47,2892.66,2893.06,NaN,NaN
1570627800,2911.1,2929.32,2907.41,2919.4,NaN,NaN
1570714200,2918.55,2948.46,2917.12,2938.13,NaN,NaN
1570800600,2963.07,2993.28,2963.07,2970.27,NaN,NaN
1571059800,2965.81,2972.84,2962.94,2966.15,NaN,NaN
1571146200,2973.61,3003.28,2973.61,2995.68,NaN,NaN
1571232600,2989.68,2997.54,2985.2,2989.69,NaN,NaN
1571319000,3000.77,3008.29,2991.79,2997.95,NaN,NaN
1571405400,2996.84,3000,2976.31,2986.2,NaN,NaN
1571664600,2996.48,3007.33,2995.35,3006.72,NaN,NaN
1571751000,3010.73,3014.57,2995.04,2995.99,NaN,NaN
1571837400,2994.01,3004.78,2991.21,3004.52,NaN,NaN
1571923800,3014.78,3016.07,3000.42,3010.29,NaN,NaN
1572010200,3003.32,3027.39,3001.94,3022.55,NaN,NaN
1572269400,3032.12,3044.08,3032.12,3039.42,NaN,NaN
1572355800,3035.39,3047.87,3034.81,3036.89,NaN,NaN
1572442200,3039.74,3050.1,3025.96,3046.77,NaN,NaN
1572528600,3046.9,3046.9,3023.19,3037.56,NaN,NaN
1572615000,3050.72,3066.95,3050.72,3066.91,NaN,NaN
1572877800,3078.96,3085.2,3074.87,3078.27,NaN,NaN
1572964200,3080.8,3083.95,3072.15,3074.62,NaN,NaN
1573050600,3075.1,3078.34,3065.89,3076.78,NaN,NaN
1573137000,3087.02,3097.77,3080.23,3085.18,NaN,NaN
1573223400,3081.25,3093.09,3073.58,3093.08,NaN,NaN
1573482600,3080.33,3088.33,3075.82,3087.01,NaN,NaN
1573569000,3089.28,3102.61,3084.73,3091.84,NaN,NaN
1573655400,3084.18,3098.06,3078.8,3094.04,NaN,NaN
1573741800,3090.75,3098.2,3083.26,3096.63,NaN,NaN
1573828200,3107.92,3120.46,3104.6,3120.46,NaN,NaN
1574087400,3117.91,3124.17,3112.06,3122.03,NaN,NaN
1574173800,3127.45,3127.64,3113.47,3120.18,NaN,NaN
1574260200,3114.66,3118.97,3091.41,3108.46,NaN,NaN
1574346600,3108.49,3110.11,3094.55,3103.54,NaN,NaN
1574433000,3111.41,3112.87,3099.26,3110.29,NaN,NaN
1574692200,3117.44,3133.83,3117.44,3133.64,NaN,NaN
1574778600,3134.85,3142.69,3131,3140.52,NaN,NaN
1574865000,3145.49,3154.26,3143.41,3153.63,NaN,NaN
1575037800,3147.18,3150.3,3139.34,3140.98,NaN,NaN
1575297000,3143.85,3144.31,3110.78,3113.87,NaN,NaN
1575383400,3087.41,3094.97,3070.33,3093.2,NaN,NaN
1575469800,3103.5,3119.38,3102.53,3112.76,NaN,NaN
1575556200,3119.21,3119.45,3103.76,3117.43,NaN,NaN
1575642600,3134.62,3150.6,3134.62,3145.91,NaN,NaN
1575901800,3141.86,3148.87,3135.46,3135.96,NaN,NaN
1575988200,3135.36,3142.12,3126.09,3132.52,NaN,NaN
1576074600,3135.75,3143.98,3133.21,3141.63,NaN,NaN
1576161000,3141.23,3176.28,3138.47,3168.57,NaN,NaN
1576247400,3166.65,3182.68,3156.51,3168.8,NaN,NaN
1576506600,3183.63,3197.71,3183.63,3191.45,NaN,NaN
1576593000,3195.4,3198.22,3191.03,3192.52,NaN,NaN
1576679400,3195.21,3198.48,3191.14,3191.14,NaN,NaN
1576765800,3192.32,3205.48,3192.32,3205.37,NaN,NaN
1576852200,3223.33,3225.65,3216.03,3221.23,NaN,NaN
1577111400,3226.05,3227.78,3222.3,3224.01,NaN,NaN
1577197800,3225.45,3226.43,3220.51,3223.38,NaN,NaN
1577370600,3227.2,3240.08,3227.2,3239.91,NaN,NaN
1577457000,3247.23,3247.93,3234.37,3240.02,NaN,NaN
1577716200,3240.09,3240.92,3216.57,3221.29,NaN,NaN
1577802600,3215.18,3231.72,3212.03,3230.78,NaN,NaN
1577975400,3244.67,3258.14,3235.53,3257.85,NaN,NaN
1578061800,3226.36,3246.15,3222.34,3234.85,NaN,NaN
1578321000,3217.55,3246.84,3214.64,3246.28,NaN,NaN
1578407400,3241.86,3244.91,3232.43,3237.18,NaN,NaN
1578493800,3238.59,3267.07,3236.67,3253.05,NaN,NaN
1578580200,3266.03,3275.58,3263.67,3274.7,NaN,NaN
1578666600,3281.81,3282.99,3260.86,3265.35,NaN,NaN
1578925800,3271.13,3288.13,3268.43,3288.13,NaN,NaN
1579012200,3285.35,3294.25,3277.19,3283.15,NaN,NaN
1579098600,3282.27,3298.66,3280.69,3289.29,NaN,NaN
1579185000,3302.97,3317.11,3302.82,3316.81,NaN,NaN
1579271400,3323.66,3329.88,3318.86,3329.62,NaN,NaN
1579617000,3321.03,3329.79,3316.61,3320.79,NaN,NaN
1579703400,3330.02,3337.77,3320.04,3321.75,NaN,NaN
1579789800,3315.77,3326.88,3301.87,3325.54,NaN,NaN
1579876200,3333.1,3333.18,3281.53,3295.47,NaN,NaN
1580135400,3247.16,3258.85,3234.5,3243.63,NaN,NaN
1580221800,3255.35,3285.78,3253.22,3276.24,NaN,NaN
1580308200,3289.46,3293.47,3271.89,3273.4,NaN,NaN
1580394600,3256.45,3285.91,3242.8,3283.66,NaN,NaN
1580481000,3282.33,3282.33,3214.68,3225.52,NaN,NaN
1580740200,3235.66,3268.44,3235.66,3248.92,NaN,NaN
1580826600,3280.61,3306.92,3280.61,3297.59,NaN,NaN
1580913000,3324.91,3337.58,3313.75,3334.69,NaN,NaN
1580999400,3344.92,3347.96,3334.39,3345.78,NaN,NaN
1581085800,3335.54,3341.42,3322.12,3327.71,NaN,NaN
1581345000,3318.28,3352.26,3317.77,3352.09,NaN,NaN
1581431400,3365.87,3375.63,3352.72,3357.75,NaN,NaN
1581517800,3370.5,3381.47,3369.72,3379.45,NaN,NaN
1581604200,3365.9,3385.09,3360.52,3373.94,NaN,NaN
1581690600,3378.08,3380.69,3366.15,3380.16,NaN,NaN
1582036200,3369.04,3375.01,3355.61,3370.29,NaN,NaN
1582122600,3380.39,3393.52,3378.83,3386.15,NaN,NaN
1582209000,3380.45,3389.15,3341.02,3373.23,NaN,NaN
1582295400,3360.5,3360.76,3328.45,3337.75,NaN,NaN
1582554600,3257.61,3259.81,3214.65,3225.89,NaN,NaN
1582641000,3238.94,3246.99,3118.77,3128.21,NaN,NaN
1582727400,3139.9,3182.51,3108.99,3116.39,NaN,NaN
1582813800,3062.54,3097.07,2977.39,2978.76,NaN,NaN
1582900200,2916.9,2959.72,2855.84,2954.22,NaN,NaN
1583159400,2974.28,3090.96,2945.19,3090.23,NaN,NaN
1583245800,3096.46,3136.72,2976.63,3003.37,NaN,NaN
1583332200,3045.75,3130.97,3034.38,3130.12,NaN,NaN
1583418600,3075.7,3083.04,2999.83,3023.94,NaN,NaN
1583505000,2954.2,2985.93,2901.54,2972.37,NaN,NaN
1583760600,2863.89,2863.89,2734.43,2746.56,NaN,NaN
1583847000,2813.48,2882.59,2734,2882.23,NaN,NaN
1583933400,2825.6,2825.6,2707.22,2741.38,NaN,NaN
1584019800,2630.86,2660.95,2478.86,2480.64,NaN,NaN
1584106200,2569.99,2711.33,2492.37,2710.95,NaN,NaN
1584365400,2508.59,2562.98,2380.94,2386.13,NaN,NaN
1584451800,2425.66,2553.93,2367.04,2529.19,NaN,NaN
1584538200,2436.5,2453.57,2280.52,2398.42,NaN,NaN
1584624600,2393.48,2466.97,2319.78,2409.39,NaN,NaN
1584711000,2431.94,2453.01,2295.56,2304.92,NaN,NaN
1584970200,2290.71,2300.73,2191.86,2237.4,NaN,NaN
1585056600,2344.44,2449.71,2344.44,2447.33,NaN,NaN
1585143000,2457.77,2571.42,2407.53,2475.56,NaN,NaN
1585229400,2501.29,2637.01,2500.72,2630.07,NaN,NaN
1585315800,2555.87,2615.91,2520.02,2541.47,NaN,NaN
1585575000,2558.98,2631.8,2545.28,2626.65,NaN,NaN
1585661400,2614.69,2641.39,2571.15,2584.59,NaN,NaN
1585747800,2498.08,2522.75,2447.49,2470.5,NaN,NaN
1585834200,2458.54,2533.22,2455.79,2526.9,NaN,NaN
1585920600,2514.92,2538.18,2459.96,2488.65,NaN,NaN
1586179800,2578.28,2676.85,2574.57,2663.68,NaN,NaN
1586266200,2738.65,2756.89,2657.67,2659.41,NaN,NaN
1586352600,2685,2760.75,2663.3,2749.98,NaN,NaN
1586439000,2776.99,2818.57,2762.36,2789.82,NaN,NaN
1586784600,2782.46,2782.46,2721.17,2761.63,NaN,NaN
1586871000,2805.1,2851.85,2805.1,2846.06,NaN,NaN
1586957400,2795.64,2801.88,2761.54,2783.36,NaN,NaN
1587043800,2799.34,2806.51,2764.32,2799.55,NaN,NaN
1587130200,2842.43,2879.22,2830.88,2874.56,NaN,NaN
1587389400,2845.62,2868.98,2820.43,2823.16,NaN,NaN
1587475800,2784.81,2785.54,2727.1,2736.56,NaN,NaN
1587562200,2787.89,2815.1,2775.95,2799.31,NaN,NaN
1587648600,2810.42,2844.9,2794.26,2797.8,NaN,NaN
1587735000,2812.64,2842.71,2791.76,2836.74,NaN,NaN
1587994200,2854.65,2887.72,2852.89,2878.48,NaN,NaN
1588080600,2909.96,2921.15,2860.71,2863.39,NaN,NaN
1588167000,2918.46,2954.86,2912.16,2939.51,NaN,NaN
1588253400,2930.91,2930.91,2892.47,2912.43,NaN,NaN
1588339800,2869.09,2869.09,2821.61,2830.71,NaN,NaN
1588599000,2815.01,2844.24,2797.85,2842.74,NaN,NaN
1588685400,2868.88,2898.23,2863.55,2868.44,NaN,NaN
1588771800,2883.14,2891.11,2847.65,2848.42,NaN,NaN
1588858200,2878.26,2901.92,2876.48,2881.19,NaN,NaN
1588944600,2908.83,2932.16,2902.88,2929.8,NaN,NaN
1589203800,2915.46,2944.25,2903.44,2930.19,NaN,NaN
1589290200,2939.5,2945.82,2869.59,2870.12,NaN,NaN
1589376600,2865.86,2874.14,2793.15,2820,NaN,NaN
1589463000,2794.54,2852.8,2766.64,2852.5,NaN,NaN
1589549400,2829.95,2865.01,2816.78,2863.7,NaN,NaN
1589808600,2913.86,2968.09,2913.86,2953.91,NaN,NaN
1589895000,2948.59,2964.21,2922.35,2922.94,NaN,NaN
1589981400,2953.63,2980.29,2953.63,2971.61,NaN,NaN
1590067800,2969.95,2978.5,2938.57,2948.51,NaN,NaN
1590154200,2948.05,2956.76,2933.59,2955.45,NaN,NaN
1590499800,3004.08,3021.72,2988.17,2991.77,NaN,NaN
1590586200,3015.65,3036.25,2969.75,3036.13,NaN,NaN
1590672600,3046.61,3068.67,3023.4,3029.73,NaN,NaN
1590759000,3025.17,3049.17,2998.61,3044.31,NaN,NaN
1591018200,3038.78,3062.18,3031.54,3055.73,NaN,NaN
1591104600,3064.78,3081.07,3051.64,3080.82,NaN,NaN
1591191000,3098.9,3130.94,3098.9,3122.87,NaN,NaN
1591277400,3111.56,3128.91,3090.41,3112.35,NaN,NaN
1591363800,3163.84,3211.72,3163.84,3193.93,NaN,NaN
1591623000,3199.92,3233.13,3196,3232.39,NaN,NaN
1591709400,3213.32,3222.71,3193.11,3207.18,NaN,NaN
1591795800,3213.42,3223.27,3181.49,3190.14,NaN,NaN
1591882200,3123.53,3123.53,2999.49,3002.1,NaN,NaN
1591968600,3071.04,3088.42,2984.47,3041.31,NaN,NaN
1592227800,2993.76,3079.76,2965.66,3066.59,NaN,NaN
1592314200,3131,3153.45,3076.06,3124.74,NaN,NaN
1592400600,3136.13,3141.16,3108.03,3113.49,NaN,NaN
1592487000,3101.64,3120,3093.51,3115.34,NaN,NaN
1592573400,3140.29,3155.53,3083.11,3097.92,NaN,NaN
1592832600,3094.42,3120.92,3079.39,3117.86,NaN,NaN
1592919000,3138.7,3154.9,3127.12,3131.29,NaN,NaN
1593005400,3114.4,3115.01,3032.13,3050.33,NaN,NaN
1593091800,3046.6,3086.25,3024.01,3083.76,NaN,NaN
1593178200,3073.2,3073.73,3004.63,3009.05,NaN,NaN
1593437400,3018.59,3053.89,2999.74,3053.24,NaN,NaN
1593523800,3050.2,3111.51,3047.83,3100.29,NaN,NaN
1593610200,3105.92,3128.44,3101.17,3115.86,NaN,NaN
1593696600,3143.64,3165.81,3124.52,3130.01,NaN,NaN
1594042200,3155.29,3182.59,3155.29,3179.72,NaN,NaN
1594128600,3166.44,3184.15,3142.93,3145.32,NaN,NaN
1594215000,3153.07,3171.8,3136.53,3169.94,NaN,NaN
1594301400,3176.17,3179.78,3115.7,3152.05,NaN,NaN
1594387800,3152.47,3186.82,3136.22,3185.04,NaN,NaN
1594647000,3205.08,3235.32,3149.43,3155.22,NaN,NaN
1594733400,3141.11,3200.95,3127.66,3197.52,NaN,NaN
1594819800,3225.98,3238.28,3200.76,3226.56,NaN,NaN
1594906200,3208.36,3220.39,3198.59,3215.57,NaN,NaN
1594992600,3224.21,3233.52,3205.65,3224.73,NaN,NaN
1595251800,3224.29,3258.61,3215.16,3251.84,NaN,NaN
1595338200,3268.52,3277.29,3247.77,3257.3,NaN,NaN
1595424600,3254.86,3279.32,3253.1,3276.02,NaN,NaN
1595511000,3271.64,3279.99,3222.66,3235.66,NaN,NaN
1595597400,3218.58,3227.26,3200.05,3215.63,NaN,NaN
1595856600,3219.84,3241.43,3214.25,3239.41,NaN,NaN
1595943000,3234.27,3243.72,3216.17,3218.44,NaN,NaN
1596029400,3227.22,3264.74,3227.22,3258.44,NaN,NaN
1596115800,3231.76,3250.92,3204.13,3246.22,NaN,NaN
1596202200,3270.45,3272.17,3220.26,3271.12,NaN,NaN
1596461400,3288.26,3302.73,3284.53,3294.61,NaN,NaN
1596547800,3289.92,3306.84,3286.37,3306.51,NaN,NaN
1596634200,3317.37,3330.77,3317.37,3327.77,NaN,NaN
1596720600,3323.17,3351.03,3318.14,3349.16,NaN,NaN
1596807000,3340.05,3352.54,3328.72,3351.28,NaN,NaN
1597066200,3356.04,3363.29,3335.44,3360.47,NaN,NaN
1597152600,3370.34,3381.01,3326.44,3333.69,NaN,NaN
1597239000,3355.46,3387.89,3355.46,3380.35,NaN,NaN
1597325400,3372.95,3387.24,3363.35,3373.43,NaN,NaN
1597411800,3368.66,3378.51,3361.64,3372.85,NaN,NaN
1597671000,3380.86,3387.59,3379.22,3381.99,NaN,NaN
1597757400,3387.04,3395.06,3370.15,3389.78,NaN,NaN
1597843800,3392.51,3399.54,3369.66,3374.85,NaN,NaN
1597930200,3360.48,3390.8,3354.69,3385.51,NaN,NaN
1598016600,3386.01,3399.96,3379.31,3397.16,NaN,NaN
1598275800,3418.09,3432.09,3413.13,3431.28,NaN,NaN
1598362200,3435.95,3444.21,3425.84,3443.62,NaN,NaN
1598448600,3449.97,3481.07,3444.15,3478.73,NaN,NaN
1598535000,3485.14,3501.38,3468.35,3484.55,NaN,NaN
1598621400,3494.69,3509.23,3484.32,3508.01,NaN,NaN
1598880600,3509.73,3514.77,3493.25,3500.31,NaN,NaN
1598967000,3507.44,3528.03,3494.6,3526.65,NaN,NaN
1599053400,3543.76,3588.11,3535.23,3580.84,NaN,NaN
1599139800,3564.74,3564.85,3427.41,3455.06,NaN,NaN
1599226200,3453.6,3479.15,3349.63,3426.96,NaN,NaN
1599571800,3371.88,3379.97,3329.27,3331.84,NaN,NaN
1599658200,3369.82,3424.77,3366.84,3398.96,NaN,NaN
1599744600,3412.56,3425.55,3329.25,3339.19,NaN,NaN
1599831000,3352.7,3368.95,3310.47,3340.97,NaN,NaN
1600090200,3363.56,3402.93,3363.56,3383.54,NaN,NaN
1600176600,3407.73,3419.48,3389.25,3401.2,NaN,NaN
1600263000,3411.23,3428.92,3384.45,3385.49,NaN,NaN
1600349400,3346.86,3375.17,3328.82,3357.01,NaN,NaN
1600435800,3357.38,3362.27,3292.4,3319.47,NaN,NaN
1600695000,3285.57,3285.57,3229.1,3281.06,NaN,NaN
1600781400,3295.75,3320.31,3270.95,3315.57,NaN,NaN
1600867800,3320.11,3323.35,3232.57,3236.92,NaN,NaN
1600954200,3226.14,3278.7,3209.45,3246.59,NaN,NaN
1601040600,3236.66,3306.88,3228.44,3298.46,NaN,NaN
1601299800,3333.9,3360.74,3332.91,3351.6,NaN,NaN
1601386200,3350.92,3357.92,3327.54,3335.47,NaN,NaN
1601472600,3341.21,3393.56,3340.47,3363,NaN,NaN
1601559000,3385.87,3397.18,3361.39,3380.8,NaN,NaN
1601645400,3338.94,3369.1,3323.69,3348.44,NaN,NaN
1601904600,3367.27,3409.57,3367.27,3408.62,NaN,NaN
1601991000,3408.74,3431.56,3354.54,3360.95,NaN,NaN
1602077400,3384.56,3426.26,3384.56,3419.45,NaN,NaN
1602163800,3434.28,3447.28,3428.15,3446.83,NaN,NaN
1602250200,3459.67,3482.34,3458.07,3477.13,NaN,NaN
1602509400,3500.02,3549.85,3499.61,3534.22,NaN,NaN
1602595800,3534.01,3534.01,3500.86,3511.93,NaN,NaN
1602682200,3515.47,3527.94,3480.55,3488.67,NaN,NaN
1602768600,3453.72,3489.08,3440.89,3483.34,NaN,NaN
1602855000,3493.5,3515.76,3480.45,3483.81,NaN,NaN
1603114200,3493.66,3502.42,3419.93,3426.92,NaN,NaN
1603200600,3439.38,3476.93,3435.65,3443.12,NaN,NaN
1603287000,3439.91,3464.86,3433.06,3435.56,NaN,NaN
1603373400,3438.5,3460.53,3415.34,3453.49,NaN,NaN
1603459800,3464.9,3466.46,3440.45,3465.39,NaN,NaN
1603719000,3441.42,3441.42,3364.86,3400.97,NaN,NaN
1603805400,3403.15,3409.51,3388.71,3390.68,NaN,NaN
1603891800,3342.48,3342.48,3268.89,3271.03,NaN,NaN
1603978200,3277.17,3341.05,3259.82,3310.11,NaN,NaN
1604064600,3293.59,3304.93,3233.94,3269.96,NaN,NaN
1604327400,3296.2,3330.14,3279.74,3310.24,NaN,NaN
1604413800,3336.25,3389.49,3336.25,3369.16,NaN,NaN
1604500200,3406.46,3486.25,3405.17,3443.44,NaN,NaN
1604586600,3485.74,3529.05,3485.74,3510.45,NaN,NaN
1604673000,3508.34,3521.58,3484.34,3509.44,NaN,NaN
1604932200,3583.04,3645.99,3547.48,3550.5,NaN,NaN
1605018600,3543.26,3557.22,3511.91,3545.53,NaN,NaN
1605105000,3563.22,3581.16,3557,3572.66,NaN,NaN
1605191400,3562.67,3569.02,3518.58,3537.01,NaN,NaN
1605277800,3552.57,3593.66,3552.57,3585.15,NaN,NaN
1605537000,3600.16,3628.51,3600.16,3626.91,NaN,NaN
1605623400,3610.31,3623.11,3588.68,3609.53,NaN,NaN
1605709800,3612.09,3619.09,3567.33,3567.79,NaN,NaN
1605796200,3559.41,3585.22,3543.84,3581.87,NaN,NaN
1605882600,3579.31,3581.23,3556.85,3557.54,NaN,NaN
1606141800,3566.82,3589.81,3552.77,3577.59,NaN,NaN
1606228200,3594.52,3642.31,3594.52,3635.41,NaN,NaN
1606314600,3635.5,3635.5,3617.76,3629.65,NaN,NaN
1606487400,3638.55,3644.31,3629.33,3638.35,NaN,NaN
1606746600,3634.18,3634.18,3594.39,3621.63,NaN,NaN
1606833000,3645.87,3678.45,3645.87,3662.45,NaN,NaN
1606919400,3653.78,3670.96,3644.84,3669.01,NaN,NaN
1607005800,3668.28,3682.73,3657.17,3666.72,NaN,NaN
1607092200,3670.94,3699.2,3670.94,3699.12,NaN,NaN
1607351400,3694.73,3697.41,3678.88,3691.96,NaN,NaN
1607437800,3683.05,3708.45,3678.83,3702.25,NaN,NaN
1607524200,3705.98,3712.39,3660.54,3672.82,NaN,NaN
1607610600,3659.13,3678.49,3645.18,3668.1,NaN,NaN
1607697000,3656.08,3665.91,3633.4,3663.46,NaN,NaN
1607956200,3675.27,3697.61,3645.84,3647.49,NaN,NaN
1608042600,3666.41,3695.29,3659.62,3694.62,NaN,NaN
1608129000,3696.25,3711.27,3688.57,3701.17,NaN,NaN
1608215400,3713.65,3725.12,3710.87,3722.48,NaN,NaN
1608301800,3722.39,3726.7,3685.84,3709.41,NaN,NaN
1608561000,3684.28,3702.9,3636.48,3694.92,NaN,NaN
1608647400,3698.08,3698.26,3676.16,3687.26,NaN,NaN
1608733800,3693.42,3711.24,3689.28,3690.01,NaN,NaN
1608820200,3694.03,3703.82,3689.32,3703.06,NaN,NaN
1609165800,3723.03,3740.51,3723.03,3735.36,NaN,NaN
1609252200,3750.01,3756.12,3723.31,3727.04,NaN,NaN
1609338600,3736.19,3744.63,3730.21,3732.04,NaN,NaN
1609425000,3733.27,3760.2,3726.88,3756.07,NaN,NaN
1609770600,3764.61,3769.99,3662.71,3700.65,NaN,NaN
1609857000,3698.02,3737.83,3695.07,3726.86,NaN,NaN
1609943400,3712.2,3783.04,3705.34,3748.14,NaN,NaN
1610029800,3764.71,3811.55,3764.71,3803.79,NaN,NaN
1610116200,3815.05,3826.69,3783.6,3824.68,NaN,NaN
1610375400,3803.14,3817.86,3789.02,3799.61,NaN,NaN
1610461800,3801.62,3810.78,3776.51,3801.19,NaN,NaN
1610548200,3802.23,3820.96,3791.5,3809.84,NaN,NaN
1610634600,3814.98,3823.6,3792.86,3795.54,NaN,NaN
1610721000,3788.73,3788.73,3749.62,3768.25,NaN,NaN
1611066600,3781.88,3804.53,3780.37,3798.91,NaN,NaN
1611153000,3816.22,3859.75,3816.22,3851.85,NaN,NaN
1611239400,3857.46,3861.45,3845.05,3853.07,NaN,NaN
1611325800,3844.24,3852.31,3830.41,3841.47,NaN,NaN
1611585000,3851.68,3859.23,3797.16,3855.36,NaN,NaN
1611671400,3862.96,3870.9,3847.78,3849.62,NaN,NaN
1611757800,3836.83,3836.83,3732.48,3750.77,NaN,NaN
